"","Var1","Freq","Support"
"137","Coffee, Hot chocolate, Brownie",3,0.000321853878339234
"138","Coffee, Hot chocolate, Cake",3,0.000321853878339234
"139","Coffee, Hot chocolate, Pastry",3,0.000321853878339234
"140","Coffee, Jammie Dodgers",3,0.000321853878339234
"141","Coffee, Tea, Scone",3,0.000321853878339234
"142","Coffee, Truffles",3,0.000321853878339234
"143","Cookies, Bread",3,0.000321853878339234
"144","Crisps",3,0.000321853878339234
"145","Hot chocolate, Coffee, Sandwich, Cake",3,0.000321853878339234
"146","Kids biscuit",3,0.000321853878339234
"147","Muffin, Coffee",3,0.000321853878339234
"148","My-5 Fruit Shoot",3,0.000321853878339234
"149","Panatone",3,0.000321853878339234
"150","Sandwich, Coffee, Coffee",3,0.000321853878339234
"151","Sandwich, Tea, Coffee",3,0.000321853878339234
"152","Spanish Brunch, Coffee",3,0.000321853878339234
"153","Tea, Coffee, Coffee",3,0.000321853878339234
"154","Tiffin, Coffee",3,0.000321853878339234
"155","Alfajores, Bread",2,0.000214569252226156
"156","Alfajores, Medialuna, Coffee, Bread",2,0.000214569252226156
"157","Argentina Night",2,0.000214569252226156
"158","Bare Popcorn",2,0.000214569252226156
"159","Bread, Chicken Stew",2,0.000214569252226156
"160","Bread, Coffee, Alfajores, Cookies",2,0.000214569252226156
"161","Bread, Coffee, Brownie",2,0.000214569252226156
"162","Bread, Coffee, Hot chocolate",2,0.000214569252226156
"163","Bread, Coffee, Keeping It Local",2,0.000214569252226156
"164","Bread, Coffee, Sandwich",2,0.000214569252226156
"165","Bread, Coffee, Scone",2,0.000214569252226156
"166","Bread, Coffee, Tea",2,0.000214569252226156
"167","Bread, Coffee, Toast",2,0.000214569252226156
"168","Bread, Eggs",2,0.000214569252226156
"169","Bread, Focaccia",2,0.000214569252226156
"170","Bread, Fudge",2,0.000214569252226156
"171","Bread, Hot chocolate",2,0.000214569252226156
"172","Bread, Jam",2,0.000214569252226156
"173","Bread, Keeping It Local",2,0.000214569252226156
"174","Bread, Spanish Brunch",2,0.000214569252226156
"175","Bread, Tea, Cake",2,0.000214569252226156
"176","Bread, Toast",2,0.000214569252226156
"177","Brownie, Bread",2,0.000214569252226156
"178","Cake, Coffee, Hot chocolate",2,0.000214569252226156
"179","Coffee, Baguette",2,0.000214569252226156
"180","Coffee, Bakewell",2,0.000214569252226156
"181","Coffee, Bread, Alfajores",2,0.000214569252226156
"182","Coffee, Bread, Brownie",2,0.000214569252226156
"183","Coffee, Bread, Pastry, Medialuna",2,0.000214569252226156
"184","Coffee, Bread, Soup",2,0.000214569252226156
"185","Coffee, Chicken Stew",2,0.000214569252226156
"186","Coffee, Coffee, Cake, Bread",2,0.000214569252226156
"187","Coffee, Coffee, Cake, Pastry",2,0.000214569252226156
"188","Coffee, Coffee, Coffee, Bread",2,0.000214569252226156
"189","Coffee, Coffee, Cookies",2,0.000214569252226156
"190","Coffee, Coffee, Medialuna, Bread",2,0.000214569252226156
"191","Coffee, Coffee, Pastry, Medialuna",2,0.000214569252226156
"192","Coffee, Coffee, Salad",2,0.000214569252226156
"193","Coffee, Coffee, Sandwich, Pastry",2,0.000214569252226156
"194","Coffee, Coffee, Tea",2,0.000214569252226156
"195","Coffee, Hot chocolate, Cookies",2,0.000214569252226156
"196","Coffee, Hot chocolate, Medialuna",2,0.000214569252226156
"197","Coffee, Jammie Dodgers, Juice",2,0.000214569252226156
"198","Coffee, Juice, Pastry",2,0.000214569252226156
"199","Coffee, Kids biscuit",2,0.000214569252226156
"200","Coffee, Medialuna, Fudge",2,0.000214569252226156
"201","Coffee, Pastry, Pastry",2,0.000214569252226156
"202","Coffee, Soup",2,0.000214569252226156
"203","Coffee, Tea, Bread",2,0.000214569252226156
"204","Coffee, Tea, Cake, Bread",2,0.000214569252226156
"205","Coffee, Tea, Cookies",2,0.000214569252226156
"206","Coffee, Tea, Scone, Bread",2,0.000214569252226156
"207","Coffee, Tea, Soup",2,0.000214569252226156
"208","Crepes",2,0.000214569252226156
"209","Drinking chocolate spoons",2,0.000214569252226156
"210","Empanadas",2,0.000214569252226156
"211","Focaccia, Bread",2,0.000214569252226156
"212","Frittata, Coffee",2,0.000214569252226156
"213","Hearty & Seasonal, Coffee, Tea",2,0.000214569252226156
"214","Hot chocolate, Coffee",2,0.000214569252226156
"215","Hot chocolate, Coffee, Bread",2,0.000214569252226156
"216","Jam, Bread",2,0.000214569252226156
"217","Medialuna, Coffee, Bread",2,0.000214569252226156
"218","Medialuna, Coffee, Coffee",2,0.000214569252226156
"219","Muffin, Coffee, Coffee",2,0.000214569252226156
"220","Nomad bag",2,0.000214569252226156
"221","Pastry, Tea, Coffee",2,0.000214569252226156
"222","Pastry, Toast, Coffee",2,0.000214569252226156
"223","Pick and Mix Bowls",2,0.000214569252226156
"224","Raspberry shortbread sandwich",2,0.000214569252226156
"225","Sandwich, Bread",2,0.000214569252226156
"226","Sandwich, Bread, Coffee",2,0.000214569252226156
"227","Scandinavian, Muffin",2,0.000214569252226156
"228","Siblings",2,0.000214569252226156
"229","Soup, Bread",2,0.000214569252226156
"230","Soup, Bread, Coffee",2,0.000214569252226156
"231","Tea, Coffee, Bread",2,0.000214569252226156
"232","Tea, Coffee, Coffee, Toast",2,0.000214569252226156
"233","Tea, Coffee, Muffin",2,0.000214569252226156
"234","Tea, Sandwich",2,0.000214569252226156
"235","Tea, Spanish Brunch",2,0.000214569252226156
"236","Tea, Tea",2,0.000214569252226156
"237","The Nomad, Coffee",2,0.000214569252226156
"238","The Nomad, Tea, Coffee",2,0.000214569252226156
"239","Toast, Coffee",2,0.000214569252226156
"240","Adjustment",1,0.000107284626113078
"241","Alfajores, Alfajores, Coffee, Coffee",1,0.000107284626113078
"242","Alfajores, Bread, Coffee",1,0.000107284626113078
"243","Alfajores, Bread, Tea, Coffee",1,0.000107284626113078
"244","Alfajores, Brownie, Bread, Baguette",1,0.000107284626113078
"245","Alfajores, Brownie, Cake",1,0.000107284626113078
"246","Alfajores, Cake, Coffee, Coffee",1,0.000107284626113078
"247","Alfajores, Coffee, Tea",1,0.000107284626113078
"248","Alfajores, Juice, Coffee, Coffee, Medialuna, Cookies",1,0.000107284626113078
"249","Alfajores, Mineral water, Coffee, Hot chocolate, Cookies, Cookies",1,0.000107284626113078
"250","Alfajores, Sandwich, Hot chocolate, Coffee, Scandinavian, Cookies",1,0.000107284626113078
"251","Art Tray, Coffee, Coffee, Brownie",1,0.000107284626113078
"252","Art Tray, Coffee, Hot chocolate, Juice, Muffin",1,0.000107284626113078
"253","Art Tray, Hearty & Seasonal, Hearty & Seasonal, Tea, Coffee",1,0.000107284626113078
"254","Baguette, Brownie",1,0.000107284626113078
"255","Baguette, Coffee, Coffee, Coffee, Salad, Art Tray, Alfajores",1,0.000107284626113078
"256","Bakewell, Coffee",1,0.000107284626113078
