"","Var1","Freq","Support"
"137","Coffee, Coffee, Tea",3,0.000322545962799699
"138","Coffee, Farm House",3,0.000322545962799699
"139","Coffee, Hot chocolate, Bread",3,0.000322545962799699
"140","Coffee, Salad",3,0.000322545962799699
"141","Coffee, Soup",3,0.000322545962799699
"142","Coffee, Tea, Toast",3,0.000322545962799699
"143","Coffee, Toast, Bread",3,0.000322545962799699
"144","Cookies, Bread",3,0.000322545962799699
"145","Crepes",3,0.000322545962799699
"146","Crisps",3,0.000322545962799699
"147","Half slice Monster",3,0.000322545962799699
"148","Hot chocolate, Bread",3,0.000322545962799699
"149","Hot chocolate, Coffee, Cake",3,0.000322545962799699
"150","Kids biscuit",3,0.000322545962799699
"151","My-5 Fruit Shoot",3,0.000322545962799699
"152","Pastry, Coffee, Coffee",3,0.000322545962799699
"153","Sandwich, Bread",3,0.000322545962799699
"154","Spanish Brunch, Coffee",3,0.000322545962799699
"155","Tea, Bread, Cake",3,0.000322545962799699
"156","Tea, Cake",3,0.000322545962799699
"157","Tea, Coffee, Bread",3,0.000322545962799699
"158","Tea, Coffee, Cake",3,0.000322545962799699
"159","Tea, Tea",3,0.000322545962799699
"160","Toast, Coffee",3,0.000322545962799699
"161","Alfajores, Coffee",2,0.000215030641866466
"162","Argentina Night",2,0.000215030641866466
"163","Bread, Alfajores",2,0.000215030641866466
"164","Bread, Coffee, Brownie",2,0.000215030641866466
"165","Bread, Coffee, Hot chocolate",2,0.000215030641866466
"166","Bread, Coffee, Keeping It Local",2,0.000215030641866466
"167","Bread, Coffee, Scone",2,0.000215030641866466
"168","Bread, Coffee, Toast",2,0.000215030641866466
"169","Bread, Fudge, Cookies",2,0.000215030641866466
"170","Bread, Pastry, Bread",2,0.000215030641866466
"171","Bread, Soup",2,0.000215030641866466
"172","Bread, Spanish Brunch",2,0.000215030641866466
"173","Bread, Toast",2,0.000215030641866466
"174","Bread, Vegan mincepie",2,0.000215030641866466
"175","Brownie, Coffee",2,0.000215030641866466
"176","Cake, Coffee, Hot chocolate",2,0.000215030641866466
"177","Coffee, Alfajores, Pastry",2,0.000215030641866466
"178","Coffee, Baguette",2,0.000215030641866466
"179","Coffee, Bread, Cake, Bread",2,0.000215030641866466
"180","Coffee, Bread, Sandwich",2,0.000215030641866466
"181","Coffee, Bread, Toast",2,0.000215030641866466
"182","Coffee, Coffee, Bread, Pastry",2,0.000215030641866466
"183","Coffee, Coffee, Cake, Alfajores",2,0.000215030641866466
"184","Coffee, Coffee, Cake, Cake",2,0.000215030641866466
"185","Coffee, Coffee, Medialuna, Bread",2,0.000215030641866466
"186","Coffee, Coffee, Medialuna, Cake",2,0.000215030641866466
"187","Coffee, Coffee, Medialuna, Cookies",2,0.000215030641866466
"188","Coffee, Coffee, Pastry, Medialuna",2,0.000215030641866466
"189","Coffee, Coffee, Smoothies, Toast",2,0.000215030641866466
"190","Coffee, Coffee, Soup",2,0.000215030641866466
"191","Coffee, Coke",2,0.000215030641866466
"192","Coffee, Coke, Pastry",2,0.000215030641866466
"193","Coffee, Hot chocolate, Brownie",2,0.000215030641866466
"194","Coffee, Hot chocolate, Medialuna",2,0.000215030641866466
"195","Coffee, Hot chocolate, Pastry",2,0.000215030641866466
"196","Coffee, Juice, Pastry",2,0.000215030641866466
"197","Coffee, Medialuna, Muffin",2,0.000215030641866466
"198","Coffee, Medialuna, Pastry",2,0.000215030641866466
"199","Coffee, Muffin, Bread",2,0.000215030641866466
"200","Coffee, Pastry, Medialuna",2,0.000215030641866466
"201","Coffee, Sandwich, Bread",2,0.000215030641866466
"202","Coffee, Scandinavian",2,0.000215030641866466
"203","Coffee, Soup, Sandwich",2,0.000215030641866466
"204","Coffee, Tea, Bread",2,0.000215030641866466
"205","Coffee, Tea, Cake, Bread",2,0.000215030641866466
"206","Coffee, Tea, Cookies",2,0.000215030641866466
"207","Coffee, The Nomad",2,0.000215030641866466
"208","Cookies, Tea, Bread",2,0.000215030641866466
"209","Farm House, Coffee",2,0.000215030641866466
"210","Farm House, Coffee, Cookies",2,0.000215030641866466
"211","Hot chocolate, Bread, Medialuna, Toast",2,0.000215030641866466
"212","Jam, Coffee, Coffee",2,0.000215030641866466
"213","Jammie Dodgers, Bread",2,0.000215030641866466
"214","Muffin, Coffee, Coffee",2,0.000215030641866466
"215","Pastry, Coffee, Juice",2,0.000215030641866466
"216","Pastry, Medialuna, Coffee",2,0.000215030641866466
"217","Pick and Mix Bowls",2,0.000215030641866466
"218","Sandwich, Bread, Coffee",2,0.000215030641866466
"219","Scandinavian, Bread",2,0.000215030641866466
"220","Scandinavian, Muffin",2,0.000215030641866466
"221","Scone, Coffee, Coffee",2,0.000215030641866466
"222","Scone, Tea",2,0.000215030641866466
"223","Tea, Coffee, Alfajores",2,0.000215030641866466
"224","Tea, Coffee, Coffee",2,0.000215030641866466
"225","Tea, Coffee, Muffin",2,0.000215030641866466
"226","Tea, Coffee, Pastry",2,0.000215030641866466
"227","Tea, Coffee, Sandwich, Sandwich",2,0.000215030641866466
"228","Tiffin, Coffee",2,0.000215030641866466
"229","Toast, Bread",2,0.000215030641866466
"230","Toast, Coffee, Bread",2,0.000215030641866466
"231","Afternoon with the baker, Coffee, Scandinavian",1,0.000107515320933233
"232","Alfajores, Alfajores, Coffee",1,0.000107515320933233
"233","Alfajores, Alfajores, Coffee, Coffee",1,0.000107515320933233
"234","Alfajores, Alfajores, Coffee, Coffee, Coffee",1,0.000107515320933233
"235","Alfajores, Alfajores, Coffee, Sandwich, Sandwich, Bread",1,0.000107515320933233
"236","Alfajores, Bread, Coffee",1,0.000107515320933233
"237","Alfajores, Bread, Coffee, Coffee",1,0.000107515320933233
"238","Alfajores, Bread, My-5 Fruit Shoot, Juice",1,0.000107515320933233
"239","Alfajores, Bread, Tea, Coffee",1,0.000107515320933233
"240","Alfajores, Brownie, Cake",1,0.000107515320933233
"241","Alfajores, Cake, Coffee, Coffee",1,0.000107515320933233
"242","Alfajores, Cake, Coffee, Sandwich, Sandwich, My-5 Fruit Shoot",1,0.000107515320933233
"243","Alfajores, Coffee, Tea",1,0.000107515320933233
"244","Alfajores, Cookies, Bread, Bread",1,0.000107515320933233
"245","Alfajores, Pastry",1,0.000107515320933233
"246","Alfajores, Pastry, Baguette, Coffee, Coffee",1,0.000107515320933233
"247","Alfajores, Tea",1,0.000107515320933233
"248","Alfajores, Tea, Coffee",1,0.000107515320933233
"249","Art Tray, Coffee",1,0.000107515320933233
"250","Art Tray, Coffee, Coffee, Brownie",1,0.000107515320933233
"251","Art Tray, Coffee, Coffee, Juice",1,0.000107515320933233
"252","Baguette, Bread",1,0.000107515320933233
"253","Baguette, Bread, Coffee, Coffee",1,0.000107515320933233
"254","Baguette, Coffee",1,0.000107515320933233
"255","Baguette, Coffee, Coffee, Coffee, Salad, Art Tray, Alfajores",1,0.000107515320933233
"256","Baguette, Pastry",1,0.000107515320933233
"257","Bakewell, Coffee",1,0.000107515320933233
"258","Bakewell, Coffee, Soup",1,0.000107515320933233
"259","Bakewell, Hot chocolate, Toast, Chicken Stew",1,0.000107515320933233
"260","Basket, Bread",1,0.000107515320933233
"261","Basket, Bread, Coffee",1,0.000107515320933233
"262","Bread, Alfajores, Alfajores",1,0.000107515320933233
"263","Bread, Alfajores, Bread",1,0.000107515320933233
"264","Bread, Alfajores, Muffin",1,0.000107515320933233
"265","Bread, Art Tray, Tea, Hot chocolate",1,0.000107515320933233
"266","Bread, Baguette, Hot chocolate, Coffee, Toast",1,0.000107515320933233
"267","Bread, Baguette, Scandinavian",1,0.000107515320933233
"268","Bread, Bread, Brownie, Scone",1,0.000107515320933233
